Wikidata entity,EuropeanaID
Q17255022,2020718/DR_19863
Q17255023,2020718/DR_19864
Q17288713,2020718/DR_1988
Q17288719,2020718/DR_1989
Q17288788,2020718/DR_200
Q17288793,2020718/DR_2000
Q17288865,2020718/DR_2013
Q17288896,2020718/DR_2019
Q17288912,2020718/DR_2021
Q17288934,2020718/DR_2026
Q17288988,2020718/DR_2036
Q17289010,2020718/DR_204
Q17289015,2020718/DR_2040
Q17289103,2020718/DR_2054
Q17289145,2020718/DR_206
Q17289166,2020718/DR_2062
Q17289197,2020718/DR_2068
Q17289288,2020718/DR_2082
Q17289335,2020718/DR_2090
Q17289364,2020718/DR_2094
Q17289412,2020718/DR_2099
Q17289476,2020718/DR_2104
Q17289639,2020718/DR_2120
